"","T","P","FMQ","PPM","MH","NNO","IW","WM","IM","QIF"
"1",0,1000,-87.4970520492624,-86.2305253832558,-80.0975345702648,-81.6603581399154,-96.6378831718409,-100.659279577891,-97.6432322733534,-101.02529234805
"2",50,1000,-72.0655735938934,-71.0021446422986,-65.5876687222351,-67.5013278450915,-80.5747399461571,-82.8405949244744,-81.1412036907364,-84.1664137230174
"3",100,1000,-60.7779454478252,-59.8227369208722,-54.9609546079166,-57.1437222731917,-68.8345945680211,-69.7729233382026,-69.0691767605665,-71.8329205314802
"4",150,1000,-52.1716124995043,-51.2305456921075,-46.8471053609135,-49.2444602468719,-59.8859162029002,-59.7875653183712,-59.8613284817679,-62.4245671425225
"5",200,1000,-45.4021177831192,-44.3492309309647,-40.4474253573899,-43.0276294371911,-52.8420944823158,-51.9171556128184,-52.6108597649415,-55.0137737588822
"6",225,1000,-42.5351000001506,-41.4160477522268,-37.7278966258934,-40.3929149274596,-49.854747964061,-48.578560650083,-49.5357011355665,-51.8692348473718
"7",250,1000,-39.9481313639955,-38.7575415162889,-35.2666554692431,-38.0141865227128,-47.155392594735,-45.5628057767506,-46.7572458902389,-49.02695073232
"8",275,1000,-37.6034914572566,-36.3367622576879,-33.027832730828,-35.8557870784504,-44.7044354985934,-42.8264480286824,-44.2349386311156,-46.445421022402
"9",300,1000,-35.4700162414962,-34.123142424083,-30.9818177639481,-33.8875092694151,-42.4691924365228,-40.333571213618,-41.9352871307966,-44.0903774272301
"10",310,1000,-34.6697841671342,-33.2898396544686,-30.2117332932618,-33.1476787906423,-41.629241202898,-39.3977135531917,-41.0713592904714,-43.2052176649172
"11",320,1000,-33.8976704850752,-32.4841160906944,-29.4671206372364,-32.4328421466269,-40.8178666578797,-38.4942763994989,-40.2369690932845,-42.3500686293543
"12",330,1000,-33.1523064887212,-31.7035937474087,-28.7466833898329,-31.741748390928,-40.0336366283451,-37.6216805940269,-39.4306476197655,-41.5234279967803
"13",340,1000,-32.4324121428213,-30.9476273388119,-28.0492100803657,-31.0732284502848,-39.2752124018558,-36.7784490485568,-38.651021563531,-40.7238913704343
"14",350,1000,-31.7367889762204,-30.2161461080824,-27.3735673786328,-30.4261885418222,-38.5413412281304,-35.9631985921935,-37.8968055691462,-39.9501444334548
"15",360,1000,-31.0643136493663,-29.5079982791759,-26.7186939397846,-29.7996044981085,-37.8308495309236,-35.1746325893548,-37.1667952955314,-39.2009558442531
"16",370,1000,-30.4139321228783,-28.822103359469,-26.0835948198988,-29.192592195783,-37.1426367530201,-34.411534244873,-36.4598611259833,-38.475170793685
"17",380,1000,-29.7846543625515,-28.1574467042834,-25.4673364015903,-28.6043199017432,-36.4756697665155,-33.672760522637,-35.7749424555459,-37.7717051532106
"18",390,1000,-29.1755495240002,-27.5130745715126,-24.8690417762391,-28.0339371086267,-35.8289777887329,-32.9572366130746,-35.1110424948183,-37.0895401517577
"19",400,1000,-28.5857415669165,-26.8880896155435,-24.2878865357142,-27.480643935754,-35.2016477512129,-32.2639508924659,-34.4672235365262,-36.4277175263961
"20",410,1000,-28.0144052548081,-26.2816467755998,-23.7230949319325,-26.9436874195186,-34.5928200753656,-31.5919503237503,-33.8426026374618,-35.7853350983464
"21",420,1000,-27.460762501185,-25.6929495187998,-23.1739363673676,-26.4223581251574,-34.0016848137289,-30.9403362542998,-33.2363476738716,-35.1615427314338
"22",430,1000,-26.9240790276282,-25.1212464027212,-22.6397221837786,-25.9159870478834,-33.4274781204467,-30.3082605711945,-32.6476737331336,-34.5555386349687
"23",440,1000,-26.4036613030576,-24.5658279262089,-22.1198027200764,-25.4239427749606,-32.8694790186603,-29.6949221789613,-32.0758398087355,-33.9665659772948
"24",450,1000,-25.8988537369284,-24.0260236406071,-21.6135646134326,-24.9456288834444,-32.3270064360796,-29.0995637686108,-31.5201457692124,-33.3939097799737
"25",460,1000,-25.4090361020652,-23.5011994966252,-21.1204283205445,-24.4804815510712,-31.7994164831351,-28.5214688502055,-30.9799295749027,-32.8368940658485
"26",470,1000,-24.9336211654678,-22.9907554047088,-20.6398458384335,-24.0279673602066,-31.2860999508655,-27.9599590241823,-30.4545647191947,-32.2948792371036
"27",480,1000,-24.4720525077319,-22.4941229891301,-20.1712986063323,-23.5875812768966,-30.7864800081238,-27.4143914692762,-29.9434578734119,-31.7672596619719
"28",490,1000,-24.0238025137589,-22.0107635180812,-19.7142955721338,-23.1588447889486,-30.300010079822,-26.8841566272199,-29.4460467166715,-31.2534614509757
"29",500,1000,-23.5883705192297,-21.5401659938815,-19.2683714085771,-22.7413041886347,-29.8261718898265,-26.3686760664365,-28.961797933979,-30.7529404055621
"30",525,1000,-22.552807157337,-20.416382231425,-18.1991905129566,-21.7436628107402,-28.6936736361235,-25.1409868433774,-27.805501937937,-29.556400198137
"31",550,1000,-21.5876386326738,-19.3624525550118,-17.1902504353593,-20.8072059736338,-27.6300816383535,-23.9942846462145,-26.7211323903188,-28.4322969762004
"32",575,1000,-20.6868460890603,-18.3722484157427,-16.2359991887691,-19.9265025250437,-26.6291898383127,-22.9216157629182,-25.702296319464,-27.3741130629319
"33",600,1000,-19.8450900711514,-17.4403397446821,-15.3315303733336,-19.096744579678,-25.6855035707062,-21.9168117123346,-24.7433306061133,-26.3760774511006
"34",650,1000,-18.3252470434194,-15.7319992472074,-13.659944892934,-17.5734429941177,-23.9507477747649,-20.0869523964155,-22.9847989301776,-24.5379828924303
"35",700,1000,-16.9674010723093,-14.2005090453149,-12.1825885785478,-16.2083358261543,-22.3927003770839,-18.4507955339798,-21.4072241663078,-22.8871651976407
